KIC,lamost_id,RA (deg),DEC (deg),dtheta (arcsec),lamost filename 
 3247016,373101079,294.379052,38.316694,3.1233,spec-57314-KP193708N401249V01_sp01-079.fits.gz 
 3247531,579801093,294.489170,38.331039,0.0000,spec-57917-KP193708N401249V02_sp01-093.fits.gz 
 3324929,243005008,285.991863,38.425333,1.2095,spec-56811-KP190339N395439V01_sp05-008.fits.gz 
 3326392,576508213,286.564850,38.462769,0.0234,spec-57908-KP190339N395439V03_sp08-213.fits.gz 
 3326790,576508219,286.720670,38.496510,0.0213,spec-57908-KP190339N395439V03_sp08-219.fits.gz 
 3335660, 52405191,289.654583,38.430000,0.0412,spec-56094-kepler05B56094_sp05-191.fits.gz 
 3336731, 52505180,289.945500,38.407500,0.0532,spec-56094-kepler05B56094_2_sp05-180.fits.gz 
 3337740, 52505074,290.216375,38.433194,0.0397,spec-56094-kepler05B56094_2_sp05-074.fits.gz 
 3339443,369705152,290.710360,38.404560,0.0053,spec-57308-KP192409N391242V01_sp05-152.fits.gz 
 3339443,580505157,290.710360,38.404560,0.0053,spec-57918-KP192409N391242V03_sp05-157.fits.gz 
 3339894, 52405169,290.842708,38.442028,0.1092,spec-56094-kepler05B56094_sp05-169.fits.gz 
 3341327, 52505121,291.241042,38.445194,0.0222,spec-56094-kepler05B56094_2_sp05-121.fits.gz 
 3342658,369808151,291.573520,38.412079,0.0335,spec-57308-KP192409N391242V02_sp08-151.fits.gz 
 3342658,580708151,291.573520,38.412079,0.0335,spec-57918-KP192409N391242V05_sp08-151.fits.gz 
 3343931,369708021,291.883540,38.440430,0.0081,spec-57308-KP192409N391242V01_sp08-021.fits.gz 
 3346501, 52508148,292.516417,38.404194,0.1083,spec-56094-kepler05B56094_2_sp08-148.fits.gz 
 3346501, 52802132,292.516417,38.404194,0.1083,spec-56096-kepler08B56096_1_sp02-132.fits.gz 
 3346779,373102150,292.593900,38.437801,0.0353,spec-57314-KP193708N401249V01_sp02-150.fits.gz 
 3346779,579802131,292.593900,38.437801,0.0353,spec-57917-KP193708N401249V02_sp02-131.fits.gz 
 3346779,580706237,292.593900,38.437801,0.0353,spec-57918-KP192409N391242V05_sp06-237.fits.gz 
 3347431,369806232,292.765108,38.485103,0.8531,spec-57308-KP192409N391242V02_sp06-232.fits.gz 
 3347431,580506233,292.765108,38.485103,0.8531,spec-57918-KP192409N391242V03_sp06-233.fits.gz 
 3353773, 52901161,294.326583,38.429639,0.0391,spec-56096-kepler08B56096_2_sp01-161.fits.gz 
 3355015,373101131,294.613160,38.466129,0.0069,spec-57314-KP193708N401249V01_sp01-131.fits.gz 
 3355015,579801131,294.613160,38.466129,0.0069,spec-57917-KP193708N401249V02_sp01-131.fits.gz 
 3356438, 52807033,294.929958,38.478667,0.0507,spec-56096-kepler08B56096_1_sp07-033.fits.gz 
 3424072,576505205,284.999306,38.589439,4.2975,spec-57908-KP190339N395439V03_sp05-205.fits.gz 
 3425476,243005080,285.579129,38.598558,0.3752,spec-56811-KP190339N395439V01_sp05-080.fits.gz 
 3427629,243008218,286.401833,38.503472,0.0460,spec-56811-KP190339N395439V01_sp08-218.fits.gz 
 3427850,576508188,286.484143,38.591886,5.0857,spec-57908-KP190339N395439V03_sp08-188.fits.gz 
 3428530,243108219,286.742583,38.534750,0.0527,spec-56811-KP190339N395439V02_sp08-219.fits.gz 
 3431022,576507184,287.668180,38.557941,0.0081,spec-57908-KP190339N395439V03_sp07-184.fits.gz 
 3432732, 52510077,288.238833,38.580972,0.0460,spec-56094-kepler05B56094_2_sp10-077.fits.gz 
 3432802,580610120,288.262970,38.583248,0.0266,spec-57918-KP192409N391242V04_sp10-120.fits.gz 
 3437031,369805176,289.581420,38.503868,0.0332,spec-57308-KP192409N391242V02_sp05-176.fits.gz 
